url,sidewalk,Litter,pothole,clear markings,not clear markings ,no markings ,cracks,side of road markings ,glitches,sidewalk crack ,road?,
8,2,2,2,2,2,1,2,1,2,2,1,
13,1,2,2,2,1,2,2,1,2,2,1,
23,1,2,2,2,1,2,2,2,2,2,1,
52,1,2,2,1,2,2,2,2,2,2,1,
56,1,2,2,1,2,2,2,1,2,2,1,
73,2,2,2,1,2,2,2,2,2,2,1,
80,2,2,2,1,2,2,2,1,2,2,1,
83,1,2,1,1,2,2,2,2,2,2,1,
88,2,2,2,2,1,2,2,2,2,2,1,
92,2,2,2,2,1,2,2,1,2,2,1,
117,2,2,2,2,2,1,1,2,2,2,1,
127,2,2,2,1,2,2,2,1,2,2,1,
128,2,1,2,1,2,2,2,2,2,2,1,
140,1,2,2,2,1,2,1,1,2,2,1,
146,2,2,2,2,1,2,2,2,2,2,1,
163,1,2,2,1,2,2,2,2,2,2,1,
170,2,2,2,1,2,2,2,2,2,2,1,
193,1,2,2,1,2,2,2,1,2,2,1,
200,1,2,1,1,2,2,2,2,2,2,1,
207,1,2,2,1,2,2,2,2,2,2,1,
208,1,2,2,2,1,2,2,1,2,2,1,
212,1,2,2,2,1,2,1,2,2,2,1,
218,2,2,2,1,2,2,2,2,2,2,1,
219,2,1,2,2,1,2,2,2,2,2,1,
231,2,2,2,1,2,2,2,1,2,2,1,
235,2,2,2,1,2,2,2,2,1,2,1,
236,2,2,2,1,2,2,2,2,2,2,1,
240,2,2,1,2,1,2,1,2,2,2,1,
252,1,2,2,2,1,2,2,2,2,2,1,
253,2,2,2,1,2,2,2,2,1,2,1,
254,1,2,2,1,2,2,2,2,2,2,1,
255,1,2,2,1,2,2,2,2,2,2,1,
256,1,2,2,1,2,2,2,2,2,2,1,
283,2,2,2,1,2,2,1,2,2,2,1,
284,1,2,1,1,2,2,1,2,2,2,1,
285,1,2,2,2,1,2,1,1,2,2,1,
309,2,2,2,2,1,2,2,1,2,2,1,
347,1,2,2,2,1,2,1,2,2,2,1,
348,1,2,2,1,2,2,2,2,2,2,1,
349,1,2,2,1,2,2,2,1,2,2,1,
353,1,2,2,1,2,2,2,2,2,2,1,
354,2,2,2,2,1,2,2,2,2,2,1,
356,1,2,2,2,1,2,2,2,2,1,1,
367,1,2,2,1,2,2,2,1,2,2,1,
373,1,2,2,1,2,2,2,2,2,2,1,
379,1,2,2,2,2,1,2,2,2,2,1,
380,1,2,2,2,2,1,2,1,2,2,1,
383,2,2,2,1,2,2,2,2,2,2,1,
384,2,2,2,1,2,2,2,2,2,2,1,
419,1,2,2,1,2,2,2,2,2,2,1,
420,2,2,2,1,2,2,2,2,2,2,1,
423,2,2,2,1,2,2,2,2,1,2,1,
426,1,2,2,1,2,2,2,2,2,2,1,
430,1,2,2,2,2,1,1,2,2,1,1,
447,2,2,2,1,2,2,2,2,2,2,1,
453,2,2,2,2,2,1,2,2,2,2,1,
473,1,2,2,2,1,2,2,2,2,2,1,
485,2,2,2,2,1,2,1,1,2,2,1,
487,1,2,2,1,2,2,2,1,2,2,1,
495,2,2,2,2,2,1,2,2,2,2,1,
510,1,2,2,1,2,2,2,2,1,2,1,
548,2,2,2,1,2,2,2,2,2,2,1,
554,2,2,2,1,2,2,2,2,2,2,1,
561,1,2,2,2,1,2,2,1,2,2,1,
562,2,2,2,2,2,1,2,1,2,2,1,
570,1,2,2,2,1,2,2,2,1,2,1,
574,2,2,2,1,2,2,2,2,1,2,1,
597,2,2,2,1,2,2,2,2,2,2,1,
657,1,2,2,1,2,2,2,2,2,2,2,
667,,,,,,,,,,,,this is not a photo
681,1,2,2,2,1,2,2,2,2,2,1,
683,1,2,1,2,1,2,1,2,2,2,1,
694,1,2,2,1,2,2,2,1,2,2,1,
715,2,2,2,2,1,2,1,2,2,2,1,
748,2,2,2,1,2,2,2,1,2,2,1,
785,1,2,1,1,2,2,2,1,2,2,1,
787,1,2,2,1,2,2,2,1,2,2,1,
800,2,2,2,1,2,2,1,2,2,2,1,
804,2,2,2,2,1,2,2,2,2,2,1,
809,2,2,2,2,1,2,1,2,2,2,1,
815,1,2,2,2,2,1,2,1,2,2,1,
822,2,2,2,1,2,2,2,2,2,2,1,
823,1,2,2,2,2,1,2,1,2,1,1,
838,1,2,2,1,2,2,2,2,2,2,1,
850,2,2,2,1,2,2,2,2,2,2,1,
858,2,2,2,1,2,2,2,2,2,2,1,
878,1,2,2,1,2,2,2,1,2,2,1,
908,1,2,2,2,1,2,2,1,1,2,1,
911,1,1,2,1,2,2,1,1,2,1,1,
912,1,2,2,1,2,2,2,1,2,2,1,
916,2,2,2,1,2,2,2,2,2,2,1,
931,1,2,2,1,2,2,2,1,2,2,2,
932,,,,,,,,,,,,same picture as 931
942,1,2,2,2,2,1,2,2,2,2,1,
952,1,2,1,2,2,1,2,2,2,2,1,
957,1,2,2,2,1,2,2,1,2,1,1,
958,1,2,2,1,2,2,1,1,2,2,1,
970,1,2,2,2,1,2,2,2,2,1,1,
975,1,2,2,2,1,2,2,2,2,2,1,
989,1,2,2,2,1,2,2,2,2,2,1,
996,1,2,2,1,2,2,1,1,2,2,1,
997,1,2,2,1,2,2,2,1,2,2,1,