url,sidewalk,Litter,pothole,clear markings,not clear markings ,no markings ,cracks,side of road markings ,glitches,sidewalk crack ,
1,1,1,2,2,2,1,2,1,1,,should markings on sidewalk count? Like any sort of paint on the road ? Maybe make a note of it in survet
9,1,2,2,2,2,1,2,1,1,,"maybe give specific examples of what a road markings is, eg lane markings, crosswalk markings, etc"
16,1,2,2,2,2,1,2,1,2,,
17,1,2,2,2,2,1,2,1,2,,
21,2,2,2,1,2,2,2,2,2,,
26,1,2,2,1,2,2,2,2,1,,
40,2,1,2,2,2,1,2,2,1,,
46,1,2,2,2,1,2,2,1,2,,
55,1,2,2,1,2,2,2,1,1,,
59,1,2,2,2,2,1,2,1,1,,
60,2,2,2,2,2,1,2,1,2,,
65,1,2,2,2,2,1,2,1,2,,
90,1,2,2,2,2,1,1,1,1,,
100,2,2,2,1,2,2,2,1,2,,
147,2,1,1,2,2,1,2,2,2,,
150,2,2,2,2,2,1,1,2,1,,not pic of a road 
159,2,2,2,2,2,1,2,2,2,,
160,2,2,2,1,2,2,1,1,1,,
164,1,2,2,2,2,1,2,2,2,,
171,2,2,2,2,1,2,2,2,1,,
174,2,1,2,1,2,2,2,1,2,,
177,2,2,2,1,2,2,2,2,2,,
180,2,2,2,2,2,1,2,1,2,,
204,2,2,2,1,2,2,2,2,1,,
214,2,1,2,2,2,1,2,2,2,,
221,1,2,2,2,2,1,1,2,2,,
230,1,2,2,2,2,1,2,1,2,,
245,1,2,2,2,2,1,2,1,2,,
251,2,1,2,2,2,1,2,2,2,,
257,2,2,2,2,1,2,2,1,1,,
263,2,2,2,2,2,1,1,2,2,,
273,1,2,2,2,2,1,2,2,2,,
315,2,2,2,2,2,1,1,2,2,,
322,2,2,2,2,1,2,2,1,1,,
324,1,2,2,2,2,1,2,1,2,,
325,1,1,1,2,2,1,1,1,2,,
338,2,2,2,2,2,1,2,1,1,,
346,2,2,2,2,2,1,2,1,2,,
347,2,1,2,2,1,2,2,1,1,,
361,1,2,2,2,2,1,2,1,1,,
376,2,2,2,2,2,1,1,2,2,,
392,1,1,2,2,2,1,2,1,1,,
393,1,2,2,1,2,2,2,1,1,1,
451,1,2,2,2,2,1,2,2,2,,this is not a pic of a road
484,1,1,1,2,2,1,2,2,1,,
502,1,2,2,2,2,1,2,1,1,,
507,2,1,2,2,2,1,2,1,1,,
511,1,2,2,1,2,2,2,1,1,,
529,2,2,2,2,2,1,1,2,2,,
530,2,2,1,2,1,2,1,2,2,,
557,2,2,2,2,2,1,1,2,2,,
579,2,2,2,2,1,2,2,1,1,,
581,1,2,2,1,2,2,2,1,2,,
592,1,2,2,2,2,1,2,2,2,,
597,2,2,2,1,2,2,2,2,1,,
598,2,2,2,2,1,2,2,1,2,,
600,1,2,1,2,2,1,1,1,2,,
626,2,2,2,2,2,1,2,1,1,,
635,1,1,2,2,1,2,2,2,2,,
640,2,2,2,2,1,2,2,2,2,,
669,2,2,2,2,1,2,1,1,2,,
671,1,2,2,1,2,2,2,2,1,,
682,1,2,2,1,2,2,2,1,1,,
689,1,2,2,2,2,1,1,2,1,,
699,1,2,2,2,2,1,2,2,2,,
701,1,2,2,2,1,2,2,1,1,,
704,2,2,2,2,2,1,1,1,2,,
711,1,2,2,1,2,2,2,1,1,,
744,2,2,2,2,2,1,1,2,2,,
748,1,1,2,1,2,2,1,1,1,,
749,1,2,2,2,2,1,2,2,1,,this is not a pic of a road
750,1,2,2,2,2,1,1,2,2,,
756,2,2,2,2,2,1,1,2,2,,
782,1,2,2,1,2,2,2,1,2,,
785,2,1,2,2,2,1,2,2,1,,
790,2,2,2,2,2,1,2,2,2,,not pic of a road 
791,2,1,1,2,2,1,1,2,2,,
792,2,1,2,2,2,1,2,2,1,,
802,2,2,2,2,2,1,1,2,2,,not pic of a road 
804,1,2,2,1,2,2,2,1,1,,
814,1,2,2,1,2,2,2,1,1,,are these road markings?
825,2,2,2,2,2,1,1,2,2,,
831,2,1,2,2,2,1,1,2,2,,
836,2,2,2,2,2,1,1,2,1,,
850,1,2,2,1,2,2,2,1,2,,
870,2,1,2,2,2,1,1,2,1,,
889,1,2,1,2,1,2,2,1,2,,are these road markings?
895,2,2,2,2,2,1,2,2,1,,not pic of a road 
911,1,2,2,1,2,2,2,1,1,,
926,2,2,2,2,2,1,2,2,2,,
929,2,2,2,1,2,2,2,2,1,,
952,1,2,2,2,2,1,2,1,2,,
957,2,2,2,2,1,2,2,1,1,,
960,1,2,2,2,2,1,2,1,1,,
964,2,2,2,2,2,1,2,2,1,,
969,2,2,2,1,2,2,2,2,1,,
986,2,2,2,1,2,2,2,2,1,,not pic of a road 
991,2,2,2,2,2,1,2,2,1,,
994,1,2,2,2,2,1,2,1,1,,
999,1,2,2,1,2,2,2,1,1,,
,sidewalk,Litter,pothole,clear markings,not clear markings ,no markings ,cracks,side of road markings ,glitches,,